Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
MqFJBlpOuB8,2024-11-12T21:57:56Z,"Illuvium: Beyond - Wave 3 - *NEW* Illuvitars, In-Game Unlockables, and more!  | November 21 2024",1412,122,17,Illuvium,52300
QWP8TEuT5NI,2024-11-12T20:00:12Z,Why Illuvium is GAINING POPULARITY Faster Than Others,154,1,0,Inspiration to Success,400
VDkMWxINq2M,2024-11-14T17:11:00Z,75 NEW ILLUVITARS! Illuvium Beyond Wave 3!,642,3,1,HW3,20
a3FoZGEDxC0,2024-11-15T15:16:31Z,Illuvium Overview,9,1,0,Caveman Crypto,3
TbjoRsvHCtY,2024-11-15T09:00:29Z,#1 Illuvium Pro taught me 3 valuable Lessons,168,16,1,Scoriox,7000
5Yk1Xicppqc,2024-11-14T20:00:24Z,Illuvium Beyond | Wave 3 | Coming Soon,235,22,1,Illuvium,52300
g3f-nPG8ka8,2024-11-14T06:20:36Z,🔴 ILLUVIUM - NEW PATCH! Another Tournament on Saturday!,210,14,0,Illuvination,2600
rL60YqNHD5A,2024-11-15T01:59:42Z,Breaking News in Illuvium 🔫🏹🔪,489,80,21,Illuvination,2600
vryNnhlPknM,2024-11-16T23:45:25Z,Casting the Illuvium Tournament with their Game Designer 👀 $1000 Prizepool / 64 Players,286,12,2,Illuvination,2600
RNZCPFEzx9k,2024-11-15T06:45:02Z,Illuvium #3 - Tier 1 Illuvial Hunt: Atlas,10,2,0,Sharding Bros,5
shJQnDnZvSY,2024-11-14T13:01:07Z,"The State Of Illuvium: Some Good, Some Not So Good.",241,20,14,Nijafe_Plays GameFi,2680
K3BS7ckkCEM,2024-11-18T12:10:22Z,My Crazy ILLUVIUM ILV Price Prediction for this WEEK,207,14,0,Altcoin Doctor,10900
FoSLzN7Uhso,2024-11-13T18:04:44Z,🔴 ILLUVIUM - NEW PATCH! Another Tournament on Saturday!,25,2,0,Illuvination,2600
yolqAmI3IJ0,2024-11-13T10:54:44Z,Новая волна Illuvium Beyond | Анонс розыгрыша,89,9,9,Winnie,771
fXEfbVrWur4,2024-11-13T02:30:23Z,Too Many Options For Competitive Illuvium,241,1,0,Nijafe_Plays GameFi,2680
HkcnL6u_IIA,2024-11-19T11:00:30Z,The RARITY for every NFT in Illuvium Beyond Wave 3,119,11,3,Scoriox,7000
ZIs0fHFYjNw,2024-11-14T06:23:10Z,Illuvium Ranger is in the game!,106,14,0,Polemos,2270
s-Gu82O74D8,2024-11-13T22:29:20Z,Illuvium | Trailer Beyond  - Wave 3 | Immutable Games | JCC Pokémon Pocket - Leaks | en Español,36,0,0,jagemetal,599
56FrdM5l-B4,2024-11-14T20:47:43Z,Illuvium | Immutable Games en Español + JCC Pokémon Pocket 14/11/2024,19,1,0,jagemetal,599
WJuc-ycxbbw,2024-11-19T13:04:50Z,My ILLUVIUM ILV BullRun Targets for 2024/2025 || VET Price Prediction,11,2,0,Altcoin Doctor,10900
hI0ogAg1L3o,2024-11-13T01:38:24Z,Live Illuvium stage 3 Overworld runs!,30,5,0,Crypto Quick Chat,148
I0TQSNUYPAc,2024-11-12T21:50:26Z,Illuvium | Immutable Games en Español  + JCC Pokémon Pocket | Partidas con Seguidores 12/11/2024,28,4,0,jagemetal,599
0Ceh9FR7pRU,2024-11-14T04:08:18Z,Lumiterra Dia 2 | Illuvium Beyond Wave 3 | Games Web3 en Español,8,1,1,Proteus Games,649
hHrHv_cICGM,2024-11-19T03:00:00Z,🔴 LIVE - Kieran Warwick tells me what's next for Illuvium,0,2,0,Scoriox,7000
SHLnNGjPU_Q,2024-11-19T13:08:33Z,Illuvium Crypto Price Prediction | Still Bullish?,4,3,0,Coin Blast,1730
3oTlTcIJWWo,2024-11-18T13:05:14Z,Illuvium Beyond Just Got Better?? | Illuvium Beyond Giveaway | Illuvium Beyond Guide,198,28,57,Web3 Gaming Tv,2980
qfJ9Zb2p-mE,2024-11-15T11:01:12Z,BIAGOMEZ JOGANDO ILLUVIUM ! LIVE (29/07/2024),9,2,1,Biagomez Lives,18
_VuE6OSrD8Y,2024-11-17T03:02:52Z,🚀ILV/USDT 1D Technical Analysis #illuvium #crypto,19,0,1,Altcoin Awareness ,17500
Z93_grfATOw,2024-11-15T22:08:46Z,Illuvium Beyond Wave 3 | November 21st,195,24,1,Illuvium,52300
-O4ksmtiTzk,2024-11-16T22:19:19Z,🚀ILLUVIUM | Price Prediction 2025 #gamefi #crypto #illuvium,67,2,1,Altcoin Awareness ,17500
34NjnX_AQMQ,2024-11-17T19:04:08Z,What's that? Whirlpool water #illuvium #illuviumoverworld #illuvial,83,2,0,Its_Arpan,12
-ibV5_2hRns,2024-11-16T19:27:08Z,🚀ILLUVIUM ($ILV) | Technical Analysis & Price Prediction,230,5,2,Altcoin Awareness ,17500
UVlUw_Ak0Tg,2024-11-17T02:49:50Z,Illuvium Tournament! Phantom Clash,57,6,0,Polemos,2270
VMZfAVm7wg4,2024-11-19T16:34:47Z,Illuvium | Immutable Games en Español 19/11/2024,5,2,0,jagemetal,599
ZuPgo2UpH5Y,2024-11-18T09:49:55Z,Illuvium | Immutable Games en Español 17/11/2024,18,2,2,jagemetal,599
02vR_gMq2-c,2024-11-16T23:31:49Z,Illuvium | Immutable Games en Español 16/11/2024,22,2,0,jagemetal,599
lWkQdnbhLiQ,2024-11-17T15:44:46Z,What Is Illuvium? - CryptoBasics360.com,1,0,0,CryptoBasics360,80
AZEKBjrvTvE,2024-11-17T07:07:22Z,"Painting Wrinkle, The Illuvium Tatopee",0,1,0,Crypto Quick Chat,148
hUrcX8jQpVk,2024-11-18T06:45:02Z,Illuvium #4 - Tier 3 Illuvial Hunt: Twine,5,1,1,Sharding Bros,5
DKAyurLGixE,2024-11-17T01:40:53Z,Illuvium Tournament! Phantom Clash,41,6,0,Polemos,2270
xxtjob705z8,2024-11-15T22:24:06Z,Illuvium | Immutable Games en Español + JCC Pokémon Pocket 15/11/2024,14,0,0,jagemetal,599
fguOPU3Jecc,2024-11-18T22:54:48Z,Illuvium | Immutable Games en Español 18/11/2024,14,2,0,jagemetal,599
6jjJn4f6yik,2024-11-17T07:43:02Z,Illuvium Tournament! Phantom Clash,76,5,0,Polemos,2270
w0ifKjTZflw,2024-11-18T22:36:06Z,Разыгрываю 20 дисков Illuvium Beyond | Время ограничено,69,8,32,Winnie,771
EzQqvpdvKgE,2024-11-15T22:41:57Z,🔴 LIVE - HUGE Illuvium Upgrade just dropped | The Download Illuvium News E67,499,34,9,Scoriox,7000
xwf7F44JfV0,2024-11-17T11:00:59Z,BIAGOMEZ JOGANDO ILLUVIUM ! LIVE (30/07/2024),5,1,0,Biagomez Lives,18
